ATCOCode,Easting,Northing,Lon,Lat,CommonName,Identifier,Direction,Street,Landmark,NatGazID,NatGazLocality,StopType,"Stop type, name",Icon colour
1290BOB20524,407591,91282,-1.89384,50.7211,Queens Road (restricted Use),,E,Poole Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20525,407390,91351,-1.89668,50.72173,Netherhall Gardens,,E,Poole Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20526,407362,91348,-1.89708,50.7217,Netherhall Gardens,,W,Poole Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20527,407207,91400,-1.89927,50.72217,Grand Bingo,,W,Poole Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20528,407135,91439,-1.90029,50.72252,Grand Bingo,,E,Poole Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20529,407052,91409,-1.90147,50.72225,The Westbourne,,SW,Seamoor Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20530,406937,91381,-1.9031,50.722,Westbourne Post Office,,W,Seamoor Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20531,406879,91402,-1.90392,50.72219,Westbourne Hogs Head,,W,Seamoor Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20532,406890,91523,-1.90376,50.72328,Westbourne Arcade,,W,Poole Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20533,407035,91382,-1.90171,50.72201,Westbourne Library,,S,Alum Chine Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20534,406986,91113,-1.90241,50.71959,Alum Chine Road,,S,Alum Chine Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20535,406978,91129,-1.90252,50.71973,Alum Chine Road,,N,Alum Chine Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20536,406870,91153,-1.90405,50.71995,RL Stevenson Ave,,N,RL Stevenson Avenue,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20539,406807,91414,-1.90494,50.7223,Hogs Head,,S,Alumhurst Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
1290BOB20540,406798,91239,-1.90507,50.72073,Westbourne Day Centre,,S,Alumhurst Road,,E0035400,Westbourne (Bournemouth),BCT,Bus/coach stop,small_red
